FAUX;Claude;Janiak;m;BL;CE;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
FAUX;Claude;Janiak;m;BL;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1999-12-06;
FAUX;Claude;Janiak;m;BL;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Claude;Janiak;m;BL;CE;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
VRAI;Claude;Janiak;m;BL;CE;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Ferdinand;Jann;m;NW;CE;;Membre;Conservateurs;1855-07-02;1851-07-08;
FAUX;Karl;Jann;m;NW;CE;;Membre;Conservateurs;1857-06-02;1855-07-03;
FAUX;Adolfo;Janner;m;TI;CN;Groupe conservateur-catholique;Membre;Conservateurs;1951-09-01;1941-03-25;
VRAI;Beat;Jans;m;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Beat;Jans;m;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2010-05-31;
FAUX;Armin;Jans;m;ZG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Beat;Jans;m;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
FAUX;Joseph;Jaquet;m;FR;CE;;Membre;Conservateurs;1872-12-02;1868-07-07;
FAUX;Nicolas;Jaquet;m;BS;CN;Groupe libéral-démocratique;Membre;Parti libéral suisse;1959-12-06;1949-12-05;
FAUX;Nicolas;Jaquet;m;BS;CN;Groupe libéral-démocratique;Membre;Parti libéral suisse;1947-11-30;1943-12-06;
FAUX;Joseph;Jaquet;m;FR;CN;;Membre;Conservateurs;1884-12-01;1872-12-03;
FAUX;Christiane;Jaquet-Berger;f;VD;CN;Groupe socialiste;Membre;Organisations progressistes de Suisse;1999-12-05;1996-11-25;
FAUX;J.-Alfred;Jaton;m;VD;CN;;Membre;Parti radical-démocratique suisse;1925-12-06;1912-06-03;
FAUX;A. Giovanni;Jauch;m;TI;CN;;Membre;Parti radical-démocratique suisse;1873-03-02;1855-07-03;
FAUX;A. Giovanni;Jauch;m;TI;CN;;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;A. Giovanni;Jauch;m;TI;CE;;Membre;Parti radical-démocratique suisse;1875-03-02;1874-05-29;
FAUX;Alfred;Jaunin;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1967-12-03;1955-03-14;
VRAI;Matthias Samuel;Jauslin;m;AG;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Werner;Jauslin;m;BL;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1979-11-25;1967-12-04;
FAUX;Alfred;Jeanhenry;m;NE;CN;;Membre;Parti radical-démocratique suisse;1902-05-20;1888-06-05;
FAUX;Maurice;Jeanneret;m;VD;CN;;Membre;Parti suisse du Travail;1952-09-01;1947-12-01;
FAUX;François;Jeanneret;m;NE;CN;Groupe libéral et évangélique;Membre;Parti libéral suisse;1991-11-24;1979-11-26;
FAUX;Charles;Jeanneret;m;BE;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1967-12-03;1959-12-07;
FAUX;Francine;Jeanprêtre;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Francine;Jeanprêtre;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1987-11-30;
FAUX;Marcelin;Jeanrenaud;m;NE;CE;;Membre;Parti radical-démocratique suisse;1874-07-02;1872-05-28;
FAUX;Charles Louis;Jeanrenaud;m;NE;CE;;Membre;Parti radical-démocratique suisse;1854-07-02;1848-11-07;
FAUX;Amanz;Jecker;m;SO;CE;Gauche;Membre;Parti radical-démocratique suisse;1874-12-02;1862-01-14;
FAUX;Oliv;Jeker;m;SO;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1931-12-06;1925-12-07;
FAUX;Camillo;Jelmini;m;TI;CE;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1991-11-24;1983-11-28;
FAUX;Peter;Jenni;m;BE;CN;Groupe du parti des automobilistes;Membre;;1995-12-03;1991-11-25;
FAUX;This;Jenny;m;GL;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1998-06-08;
FAUX;Peter sen.;Jenny;m;GL;CN;Centre;Membre;Libéral;1866-03-02;1859-07-05;
FAUX;Johann;Jenny;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1935-12-01;1890-12-02;
FAUX;Peter jun.;Jenny;m;GL;CE;Gauche;Membre;Démocrates;1877-06-02;1875-06-08;
FAUX;This;Jenny;m;GL;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;This;Jenny;m;GL;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Kaspar;Jenny;m;GL;CN;Gauche;Membre;Parti radical-démocratique suisse;1859-04-02;1848-11-07;
FAUX;Johann;Jenny;m;BE;CN;;Membre;Paysans, Artisans et Bourgeois;1935-12-01;1890-12-02;
FAUX;Johann;Jenny;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Président(e);Paysans, Artisans et Bourgeois;1935-12-01;1890-12-02;
FAUX;This;Jenny;m;GL;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2014-02-13;2011-12-05;
FAUX;Heinrich;Jenny;m;GL;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1914-12-07;
FAUX;Peter jun.;Jenny;m;GL;CN;Gauche;Membre;Démocrates;1872-12-02;1866-07-03;
FAUX;Walter;Jermann;m;BL;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2007-12-02;2003-12-01;
FAUX;Xavier J. J. B.;Jobin;m;BE;CN;Groupe conservateur-catholique;Membre;Conservateurs;1931-12-06;1922-12-04;
FAUX;Xavier J. J. B.;Jobin;m;BE;CN;Groupe conservateur-catholique;Membre;Conservateurs;1919-11-01;1917-12-03;
FAUX;Rudolf;Joder;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Rudolf;Joder;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Rudolf;Joder;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Rudolf;Joder;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Francine;John-Calame;f;NE;CN;Groupe des Verts;Membre;Parti écologiste suisse;2007-12-02;2005-05-31;
FAUX;Francine;John-Calame;f;NE;CN;Groupe des Verts;Membre;Parti écologiste suisse;2011-12-04;2007-12-03;
FAUX;Francine;John-Calame;f;NE;CN;Groupe des Verts;Membre;Parti écologiste suisse;2015-11-29;2011-12-05;
FAUX;Louis;Joliat;m;BE;CN;;Membre;Parti radical-démocratique suisse;1904-06-01;1902-09-29;
FAUX;Pierre;Jolissaint;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1896-03-03;1884-12-02;
FAUX;Pierre;Jolissaint;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1878-12-02;1869-12-07;
FAUX;Joh. Melchior Al.;Joller;m;NW;CN;Gauche;Membre;Libéral;1860-12-03;1857-12-08;
FAUX;Remigi;Joller;m;NW;CE;Groupe conservateur-catholique;Membre;Conservateurs;1947-06-01;1937-06-07;
FAUX;Silvio;Jolli;m;TI;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1963-12-01;1962-06-04;
FAUX;P.-Isaac;Joly;m;VD;CN;;Membre;Parti radical-démocratique suisse;1878-12-02;1872-12-03;
FAUX;F.-David;Joly;m;VD;CN;;Membre;Parti radical-démocratique suisse;1883-03-02;1881-04-20;
FAUX;Wilhelm J. B.;Joos;m;SH;CN;;Membre;Démocrates;1900-11-06;1863-12-08;
FAUX;Gottfried;Joost;m;BE;CN;;Membre;Parti radical-démocratique suisse;1881-12-05;1872-12-03;
FAUX;Gottfried;Joost;m;BE;CN;;Membre;Parti radical-démocratique suisse;1899-12-04;1889-03-26;
FAUX;Ernest;Joray;m;GE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1922-05-01;1922-01-23;
FAUX;Adolphe;Jordan;m;VD;CE;;Président(e);Parti radical-démocratique suisse;1896-12-07;1888-06-05;
FAUX;Adolphe;Jordan;m;VD;CN;;Membre;Parti radical-démocratique suisse;1900-05-27;1896-12-08;
FAUX;Adolphe;Jordan;m;VD;CE;;Membre;Parti radical-démocratique suisse;1896-12-07;1888-06-05;
FAUX;Adolphe;Jordan;m;VD;CE;;Membre;Parti radical-démocratique suisse;1896-12-07;1888-06-05;
FAUX;Adolphe;Jordan;m;VD;CN;;Membre;Parti radical-démocratique suisse;1883-05-02;1881-12-06;
FAUX;Werner;Jöri;m;LU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1996-06-16;1995-12-04;
FAUX;Werner;Jöri;m;LU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1991-11-25;
FAUX;Fidèle-Eman.;Joris;m;VS;CN;;Membre;Conservateurs;1886-11-20;1878-12-03;
FAUX;Fidèle-Eman.;Joris;m;VS;CE;;Membre;Conservateurs;1869-06-02;1868-12-08;
FAUX;Ernest;Josi;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1959-12-06;1951-12-03;
FAUX;Daniel;Jositsch;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Daniel;Jositsch;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
VRAI;Daniel;Jositsch;m;ZH;CE;Groupe socialiste;Membre;Parti socialiste suisse;;2015-12-08;
FAUX;Daniel;Jositsch;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-12-07;2015-11-30;
FAUX;Fritz;Joss;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1939-10-03;1919-12-01;
FAUX;Peter;Jossen-Zinsstag;m;VS;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1999-06-14;
FAUX;Fritz;Jost;m;ZG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1947-11-30;1943-12-06;
FAUX;Christian;Jost;m;GR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1983-11-27;1979-11-26;
FAUX;Franz;Jung;m;LU;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1991-11-24;1975-12-01;
FAUX;Georges;Junod;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1939-12-03;1934-03-26;
FAUX;Raymond;Junod;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1974-06-09;1967-12-04;
FAUX;Raymond;Junod;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1983-11-27;1975-11-24;
FAUX;Erwin;Jutzet;m;FR;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-03-04;2003-12-01;
FAUX;Erwin;Jutzet;m;FR;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1995-12-04;
FAUX;Jakob;Käch;m;AG;CN;Groupe conservateur-catholique;Membre;Conservateurs;1955-12-04;1947-12-01;
FAUX;E. Jakob;Kägi;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1950-04-07;1919-12-01;
FAUX;Ferdinand;Kaiser;m;ZG;CE;Centre;Membre;Libéral;1850-07-02;1848-11-07;
FAUX;Simon;Kaiser;m;SO;CN;Gauche;Président(e);Parti radical-démocratique suisse;1887-12-05;1857-12-08;
FAUX;Simon;Kaiser;m;SO;CN;Gauche;Président(e);Parti radical-démocratique suisse;1887-12-05;1857-12-08;
FAUX;Simon;Kaiser;m;SO;CN;Gauche;Membre;Parti radical-démocratique suisse;1887-12-05;1857-12-08;
FAUX;Niklaus;Kaiser;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1884-12-01;1864-09-21;
FAUX;Jakob;Kaiser;m;NW;CE;;Membre;Conservateurs;1861-06-02;1857-06-10;
FAUX;Simon;Kaiser;m;SO;CN;Gauche;Membre;Parti radical-démocratique suisse;1887-12-05;1857-12-08;
FAUX;Jakob;Kaiser;m;NW;CE;;Membre;Conservateurs;1876-12-19;1868-07-07;
FAUX;Simon;Kaiser;m;SO;CN;Gauche;Membre;Parti radical-démocratique suisse;1887-12-05;1857-12-08;
FAUX;Ruth;Kalbermatten;f;VS;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1999-12-05;1999-03-01;
FAUX;Arnold;Kamber;m;SO;CN;Groupe socialiste;Membre;Parti socialiste suisse;1935-12-01;1931-03-16;
FAUX;Moritz;Kämpfen;m;VS;CN;Groupe conservateur-catholique;Membre;Conservateurs;1967-05-18;1951-12-03;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Membre;Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Président(e);Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Membre;Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Président(e);Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Membre;Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Président(e);Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Membre;Indéfinissable;1881-12-05;1848-11-07;
FAUX;Johann Karl;Kappeler;m;TG;CE;Centre;Président(e);Indéfinissable;1881-12-05;1848-11-07;
FAUX;Arnold;Kappler;m;SG;CN;Groupe conservateur-catholique;Membre;Conservateurs;1947-11-30;1939-12-04;
FAUX;Johann;Karlen;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1850-05-02;1848-11-07;
FAUX;Jakob;Karlen;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1863-12-07;1859-01-11;
FAUX;Johann Jakob;Karlen;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1872-12-02;1857-12-08;
FAUX;Jakob;Karlen;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1857-12-07;1851-12-02;
FAUX;Karl;Karrer;m;BE;CN;Gauche;Président(e);Parti radical-démocratique suisse;1886-04-19;1848-11-07;
FAUX;Karl;Karrer;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1886-04-19;1848-11-07;
FAUX;Ludwig;Karrer;m;AG;CN;;Membre;Conservateurs;1888-09-02;1880-06-08;
FAUX;Karl;Karrer;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1886-04-19;1848-11-07;
FAUX;Hans;Käser;m;SH;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-06-01;1933-09-25;
FAUX;Hans;Kästli;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1959-12-06;1945-09-18;
FAUX;Hans;Kaufmann;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Hans;Kaufmann;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Remigius;Kaufmann;m;SG;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1983-11-27;1972-02-28;
FAUX;Hans;Kaufmann;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Hans;Kaufmann;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2014-05-04;2011-12-05;
FAUX;Johann Joseph;Keel;m;SG;CN;;Président(e);Conservateurs;1902-08-12;1875-12-07;
FAUX;Johann Joseph;Keel;m;SG;CN;;Membre;Conservateurs;1902-08-12;1875-12-07;
FAUX;Johann Joseph;Keel;m;SG;CN;;Membre;Conservateurs;1902-08-12;1875-12-07;
FAUX;Valentin;Keel;m;SG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1931-12-06;1919-12-01;
FAUX;Vincent;Kehrwand;m;VD;CN;Gauche;Membre;Parti radical-démocratique suisse;1857-10-02;1850-04-06;
FAUX;Georg J. J. F.;Keiser;m;ZG;CE;;Membre;Conservateurs;1899-06-02;1885-03-10;
FAUX;Gustav Adolf;Keiser;m;ZG;CE;Centre;Membre;Libéral;1850-10-02;1848-11-07;
FAUX;Martin;Keiser;m;ZG;CE;;Membre;Conservateurs;1854-07-02;1854-01-10;
FAUX;Martin-Anton;Keiser;m;ZG;CE;;Membre;Conservateurs;1854-01-02;1850-11-05;
FAUX;Kaspar-Anton;Keiser;m;ZG;CE;;Membre;Conservateurs;1865-06-02;1862-01-14;
FAUX;Theodor;Keiser;m;ZG;CN;;Membre;Conservateurs;1887-12-05;1884-12-02;
FAUX;Jakob;Kellenberger;m;AR;CN;Non inscrit;Membre;Indéfinissable;1857-12-07;1853-07-05;
FAUX;Augustin;Keller;m;AG;CE;Gauche;Membre;Libéral;1881-12-05;1867-07-02;
FAUX;Johann;Keller;m;TG;CE;Gauche;Membre;Libéral;1851-07-02;1850-07-02;
FAUX;Rudolf;Keller;m;BL;CN;Groupe des Démocrates suisses et de la Ligue des Tessinois;Membre;Démocrates Suisses;1995-12-03;1991-11-25;
FAUX;Christine;Keller;f;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1998-01-19;
FAUX;Rudolf;Keller;m;BL;CN;Non inscrit;Membre;Démocrates Suisses;1999-12-05;1995-12-04;
FAUX;Augustin;Keller;m;AG;CN;Gauche;Président(e);Libéral;1866-12-03;1854-12-05;
FAUX;Rudolf;Keller;m;BL;CN;Groupe démocrate;Membre;Démocrates Suisses;1999-12-05;1995-12-04;
FAUX;Emil;Keller;m;AG;CN;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1943-12-05;1925-06-02;
FAUX;Emil;Keller;m;AG;CN;;Membre;Parti radical-démocratique suisse;1922-12-03;1912-06-03;
FAUX;Augustin;Keller;m;AG;CE;Gauche;Membre;Libéral;1881-12-05;1867-07-02;
FAUX;Robert;Keller;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Gustav;Keller;m;ZH;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1930-09-01;1922-12-04;
FAUX;Gottfried;Keller;m;AG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1912-12-02;
FAUX;Gottfried;Keller;m;AG;CE;;Membre;Parti radical-démocratique suisse;1943-12-05;1912-12-02;
FAUX;Augustin;Keller;m;AG;CN;Gauche;Membre;Libéral;1866-12-03;1854-12-05;
FAUX;Johann Jakob;Keller;m;ZH;CN;Gauche démocratique;Membre;Démocrates;1893-12-04;1869-12-07;
FAUX;Emil;Keller;m;AG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1925-06-02;
FAUX;Albert;Keller;m;AR;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1951-12-02;1935-12-02;
FAUX;Augustin;Keller;m;AG;CE;Gauche;Président(e);Libéral;1881-12-05;1867-07-02;
FAUX;Otto;Keller;m;TG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1979-11-25;1964-09-21;
FAUX;Anton;Keller;m;AG;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1995-12-03;1979-11-26;
FAUX;Augustin;Keller;m;AG;CE;Gauche;Membre;Libéral;1848-12-02;1848-11-07;
FAUX;Augustin;Keller;m;AG;CN;Gauche;Membre;Libéral;1866-12-03;1854-12-05;
FAUX;Gottfried;Keller;m;AG;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1943-12-05;1912-12-02;
FAUX;Rudolf;Keller;m;BL;CN;Non inscrit;Membre;Démocrates Suisses;1999-12-05;1995-12-04;
FAUX;Peter;Keller;m;NW;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Robert;Keller;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Rudolf;Keller;m;BL;CN;Groupe du Parti suisse de la liberté;Membre;Démocrates Suisses;1999-12-05;1995-12-04;
VRAI;Peter;Keller;m;NW;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
VRAI;Barbara;Keller-Inhelder;f;SG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Armin J. J;Kellersberger;m;AG;CE;;Membre;Parti radical-démocratique suisse;1905-07-28;1881-12-06;
FAUX;Armin J. J;Kellersberger;m;AG;CE;;Membre;Parti radical-démocratique suisse;1905-07-28;1881-12-06;
FAUX;Armin J. J;Kellersberger;m;AG;CE;;Président(e);Parti radical-démocratique suisse;1905-07-28;1881-12-06;
VRAI;Karin;Keller-Sutter;f;SG;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Karin;Keller-Sutter;f;SG;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
FAUX;Heinrich;Kern;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1902-11-30;1895-03-26;
FAUX;Johann Conrad;Kern;m;TG;CN;Gauche;Membre;Libéral;1854-08-02;1848-11-07;
FAUX;Armin;Kern;m;ZH;CN;Groupe du parti des automobilistes;Membre;;1995-12-03;1991-11-25;
FAUX;Hans;Kern;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1934-03-13;
FAUX;Johann Conrad;Kern;m;TG;CN;Gauche;Membre;Libéral;1854-08-02;1848-11-07;
FAUX;Johann Conrad;Kern;m;TG;CE;Gauche;Membre;Libéral;1857-12-07;1855-07-03;
FAUX;Johann Conrad;Kern;m;TG;CN;Gauche;Président(e);Libéral;1854-08-02;1848-11-07;
FAUX;Alois;Kessler;m;SZ;CN;Groupe socialiste;Membre;Parti socialiste suisse;1979-11-25;1979-03-05;
FAUX;Margrit;Kessler;f;SG;CN;Groupe vert'libéral;Membre;Parti vert'libéral;2015-11-29;2011-12-05;
FAUX;Karl;Ketterer;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1975-11-30;1966-06-07;
FAUX;Margret;Kiener Nellen;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Margret;Kiener Nellen;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
VRAI;Margret;Kiener Nellen;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Margret;Kiener Nellen;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Friedrich;Kilian;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1863-12-07;1861-07-02;
FAUX;Karl;Killer;m;AG;CE;Groupe socialiste;Membre;Parti socialiste suisse;1948-01-07;1943-12-06;
FAUX;Karl;Killer;m;AG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1943-12-05;1919-12-01;
FAUX;Hans;Killer;m;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Hans;Killer;m;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Hermann G. D.;Kinkelin;m;BS;CN;;Membre;Parti radical-démocratique suisse;1899-12-04;1890-12-02;
FAUX;Max;Kistler;m;LU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1959-12-06;1955-12-05;
FAUX;Gottfried;Klaus;m;SO;CE;Groupe socialiste;Membre;Parti socialiste suisse;1963-08-07;1943-12-06;
FAUX;H.-Auguste;Klaye;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1890-12-01;1870-12-06;
FAUX;Wilhelm;Klein;m;BS;CN;Gauche;Membre;Parti radical-démocratique suisse;1878-12-02;1863-12-08;
FAUX;Wilhelm;Klein;m;BS;CN;Gauche;Membre;Parti radical-démocratique suisse;1887-05-13;1881-12-06;
FAUX;Wilhelm;Klein;m;BS;CE;Gauche;Membre;Parti radical-démocratique suisse;1881-10-02;1881-06-07;
FAUX;Marianne;Kleiner;f;AR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Marianne;Kleiner;f;AR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-12-02;2003-12-01;
FAUX;Walter;Klingler;m;SG;CN;Groupe conservateur-catholique;Membre;Conservateurs;1955-12-04;1951-12-03;
FAUX;Walter;Klingler;m;SG;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1967-03-27;1959-12-07;
FAUX;Theodor;Kloter;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1983-11-27;1973-09-17;
FAUX;Theodor;Kloter;m;ZH;CN;Groupe indépendant;Membre;Alliance des Indépendants;1971-11-28;1967-12-04;
FAUX;Emil;Klöti;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1930-09-14;1919-12-01;
FAUX;Emil;Klöti;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1930-09-14;1919-12-01;
FAUX;Emil;Klöti;m;ZH;CN;Groupe socialiste;Président(e);Parti socialiste suisse;1930-09-14;1919-12-01;
FAUX;Emil;Klöti;m;ZH;CE;Groupe socialiste;Membre;Parti socialiste suisse;1955-12-04;1930-09-14;
VRAI;Hansjörg;Knecht;m;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Hansjörg;Knecht;m;AG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2015-11-29;2011-12-05;
FAUX;Johannes;Knechtenhofer;m;BE;CN;Droite évangélique (cons. réf.);Membre;Conservateurs réformés;1851-12-01;1850-07-02;
FAUX;Arnold L. E.;Knellwolf;m;BE;CN;Groupe socialiste;Membre;Grutléens et socialistes;1919-11-01;1917-12-03;
FAUX;Kaspar;Knobel;m;SZ;CN;Groupe conservateur-catholique;Membre;Conservateurs;1953-01-04;1943-12-06;
FAUX;L. Kaspar;Knobel;m;SZ;CN;;Membre;Parti radical-démocratique suisse;1909-12-16;1905-12-04;
FAUX;Josef Martin;Knüsel;m;LU;CF;;;Libéral;1876-01-01;1855-07-15;
FAUX;Josef Martin;Knüsel;m;LU;CN;Gauche;Membre;Libéral;1855-07-02;1854-12-05;
FAUX;Peter;Knüsel;m;LU;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1987-11-29;1971-11-29;
FAUX;Josef Martin;Knüsel;m;LU;CN;Gauche;Membre;Libéral;1881-12-05;1878-12-03;
