FAUX;Walter;Ammann;m;SG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1991-11-24;1976-03-01;
FAUX;Johann-Kaspar;Ammann;m;ZH;CE;Gauche;Membre;Libéral;1849-08-02;1849-04-17;
FAUX;P. Albert;Ammann;m;SH;CE;;Membre;Parti radical-démocratique suisse;1928-12-02;1896-12-08;
FAUX;Regina;Ammann Schoch;f;AG;CN;Groupe AdI/PEP;Membre;Alliance des Indépendants;1999-12-05;1999-03-01;
FAUX;Regina;Ammann Schoch;f;AG;CN;Groupe AdI/PEP;Vice-président(e);Alliance des Indépendants;1999-12-05;1999-03-01;
FAUX;Johann Jakob;Amsler;m;ZH;CN;;Membre;Parti radical-démocratique suisse;1908-12-06;1896-12-08;
FAUX;Johann-Rudolf;Amsler;m;ZH;CN;;Membre;Démocrates;1917-10-30;1899-12-05;
FAUX;Eduard;Amstad;m;NW;CE;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1976-10-06;1967-06-05;
FAUX;Joh. Josef M.;Amstad;m;NW;CE;;Membre;Conservateurs;1894-04-02;1884-06-05;
FAUX;Walter;Amstalden;m;OW;CE;Groupe conservateur-catholique;Membre;Conservateurs;1943-06-01;1926-06-07;
FAUX;Walter;Amstalden;m;OW;CE;Groupe conservateur-catholique;Président(e);Conservateurs;1943-06-01;1926-06-07;
FAUX;Walter;Amstalden;m;OW;CE;Groupe conservateur-catholique;Membre;Conservateurs;1943-06-01;1926-06-07;
FAUX;Adrian;Amstutz;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-05-29;2007-12-03;
FAUX;Adrian;Amstutz;m;BE;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Adrian;Amstutz;m;BE;CE;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2011-05-30;
FAUX;Adrian;Amstutz;m;BE;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;2015-11-29;2011-12-05;
