FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;1931-12-01;1947-11-30;Fribourg (FR);1884-05-07;1957-02-04;
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;1931-12-01;1947-11-30;Fribourg (FR);1884-05-07;1957-02-04;
FAUX;Paul;Aeby;m;Fribourg;FR;Conseil national;;;Conservateurs;Cons*;;;;;1883-06-19;1898-07-19;Fribourg (FR);1841-11-14;1898-07-19;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1851-12-02;1852-12-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1857-12-08;1864-06-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil national;Centre;MC;Libéral;Lib*;;;;;1872-12-03;1883-05-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1849-04-17;1849-11-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1853-07-05;1853-12-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1865-07-04;1872-06-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1865-07-04;1872-06-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;A. Otto;Aepli;m;Thurgovie;TG;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;1919-01-27;1921-11-04;St-Gall (SG),Diessenhofen (TG);1870-04-19;1921-11-04;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil national;Centre;MC;Libéral;Lib*;;;;;1872-12-03;1883-05-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil national;Centre;MC;Libéral;Lib*;;;;;1872-12-03;1883-05-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1850-07-02;1851-06-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;1865-07-04;1872-06-02;St-Gall (SG),Diessenhofen (TG);1816-08-23;1897-12-05;
FAUX;Regine;Aeppli Wartmann;f;Zurich;ZH;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;marié(e);Winterthur;Zurich;Kantonsrätin von 1987 bis 1996;1995-12-04;2003-11-30;Zurich (ZH),Stäfa (ZH),Bauma (ZH);1952-10-05;;
FAUX;Adolf;Aeschbach;m;Argovie;AG;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;1943-12-06;1959-12-06;Burg (AG);1888-10-09;1969-03-19;
FAUX;Ruedi;Aeschbacher;m;Zurich;ZH;Conseil national;Groupe évangélique et indépendant;E;Parti évangélique suisse;PEV;marié(e);St. Gall;St-Gall;Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978 / Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994 / Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000;1999-12-06;2003-11-30;Zurich (ZH),Trachselwald (BE);1941-09-15;;
